Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
42,1716,837,82,716,118,0,360,115,0,0,4,508,33,58,21,27
1617,24,236,102,59,44,0,91,409,0,0,217,30,3,402,2,20
696,214,6,146,16,1,0,0,1,0,0,1,2,0,1,0,0
58,94,128,5,0,1,0,0,0,0,0,1,0,0,0,0,0
664,57,10,0,5,1,0,5,23,0,0,0,11,0,0,15,25
105,45,2,2,1,0,0,0,8,0,0,0,0,5,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,79,2,0,5,0,0,7,0,0,0,1,2,0,1,0,0
83,389,1,0,16,5,0,0,4,0,0,1,1,0,23,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,187,0,0,0,0,0,1,2,0,0,5,1,0,2,0,0
473,37,3,0,19,0,0,2,5,0,1,3,9,88,3,0,0
19,1,0,0,0,3,0,0,0,0,0,0,75,4,0,0,0
46,406,1,0,2,0,0,0,44,0,0,3,3,0,4,0,0
18,1,0,0,11,1,0,0,2,0,0,0,0,0,0,2,5
17,17,0,0,19,2,0,0,2,0,0,0,0,0,0,4,1
