Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
18,1983,865,306,846,364,0,187,117,0,111,15,455,51,25,85,52
1963,16,130,126,103,63,0,65,390,0,413,315,33,4,175,14,33
691,112,5,208,2,16,0,2,6,0,5,1,27,0,1,0,0
230,106,197,0,2,12,0,0,45,0,0,20,1,0,0,0,2
793,77,2,3,11,0,0,8,6,0,166,7,15,1,0,22,83
339,58,16,11,0,0,0,4,4,0,2,1,7,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,50,0,0,2,0,0,3,13,0,0,0,1,0,0,4,0
81,346,6,42,4,3,0,8,1,0,26,9,0,0,7,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,380,1,0,150,0,0,0,30,0,0,8,0,1,6,0,4
6,280,0,20,9,0,0,0,5,0,10,5,0,0,0,0,1
418,21,27,2,14,5,0,9,2,0,2,1,2,109,0,3,3
37,3,1,0,0,0,0,0,0,0,2,0,101,1,0,21,0
15,162,0,1,1,1,0,0,10,0,7,0,0,0,5,0,0
81,15,0,0,22,0,0,5,0,0,0,0,2,18,0,2,8
48,24,0,4,68,0,0,0,1,0,12,2,4,0,0,12,0
