Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
95,129,59,33,200,20,1,1,0,12,3,19,77,21,23,35,31
38,55,55,16,37,17,0,0,3,113,16,91,10,0,20,6,0
63,84,21,49,27,19,0,0,0,17,0,5,1,0,0,0,1
34,51,32,5,3,5,0,0,0,10,0,0,3,0,0,0,0
71,25,1,1,46,5,0,0,0,4,5,3,14,6,5,23,11
9,13,3,1,1,0,0,0,0,3,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,85,6,10,7,0,0,0,0,19,4,15,0,0,0,0,0
0,11,1,0,4,0,0,0,0,1,5,0,0,0,0,0,0
5,40,2,1,3,1,1,0,0,11,0,17,0,0,0,0,0
33,14,0,1,39,3,0,1,0,0,0,1,10,26,1,5,1
7,1,0,0,5,0,0,0,0,0,0,0,6,5,0,0,0
9,12,0,0,10,0,0,0,0,2,0,0,0,0,12,1,0
12,3,0,0,12,0,0,0,0,0,0,0,0,0,0,13,7
10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6
