Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
113,785,357,182,1222,179,1,1,0,37,3,54,412,40,86,87,67
708,64,296,54,76,78,0,0,3,620,99,295,14,0,85,12,0
326,275,24,197,33,19,0,0,0,20,0,5,1,0,0,0,1
162,79,204,5,15,5,0,0,0,23,0,0,4,0,0,0,0
1159,67,7,11,49,5,0,0,0,39,25,9,37,17,10,57,14
200,75,5,2,1,1,0,0,0,16,5,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,598,8,22,41,14,0,0,0,19,19,38,0,0,2,0,0
0,97,1,0,24,0,0,0,0,18,5,0,0,0,0,0,0
50,278,2,1,10,1,1,0,0,36,0,17,0,0,0,0,0
391,20,1,2,59,3,0,1,0,0,0,1,10,112,5,5,1
31,1,0,0,14,1,0,0,0,0,0,0,99,5,1,0,0
81,78,0,0,11,0,0,0,0,3,0,0,3,0,14,4,0
82,10,0,0,54,0,0,0,0,0,0,0,1,0,3,13,12
49,0,1,1,8,0,0,0,0,0,0,0,0,0,0,8,6
