Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
33,262,187,35,100,21,0,41,47,0,0,3,83,19,19,8,8
109,22,65,21,20,7,0,26,51,0,0,40,13,2,49,1,9
73,96,6,35,6,1,0,0,0,0,0,1,1,0,0,0,0
11,27,35,1,0,1,0,0,0,0,0,1,0,0,0,0,0
14,19,0,0,5,1,0,0,5,0,0,0,3,0,0,6,13
7,10,2,2,1,0,0,0,5,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,18,2,0,1,0,0,6,0,0,0,0,2,0,1,0,0
3,22,0,0,2,1,0,0,3,0,0,1,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
17,21,0,0,11,0,0,2,4,0,1,0,9,26,2,0,0
3,1,0,0,0,1,0,0,0,0,0,0,9,4,0,0,0
8,33,0,0,1,0,0,0,24,0,0,1,0,0,4,0,0
1,1,0,0,6,0,0,0,2,0,0,0,0,0,0,2,1
5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
