Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
21,1974,822,233,568,88,0,98,66,0,74,34,394,56,51,120,33
1951,11,166,109,78,15,0,2,230,0,394,334,25,15,338,35,13
681,140,0,123,2,9,0,0,1,0,14,2,2,0,0,0,2
187,97,105,1,1,5,0,0,1,0,0,0,2,1,0,0,0
540,71,2,2,7,0,0,0,9,0,305,0,20,7,2,29,70
77,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,195,0,0,4,0,0,0,0,0,40,3,0,0,6,21,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,369,10,0,283,0,0,0,61,0,3,0,0,0,16,10,3
24,314,0,1,0,0,1,0,1,0,1,9,0,0,0,0,0
364,14,4,0,23,1,0,1,1,0,0,0,2,98,0,1,1
39,17,0,1,9,0,0,0,0,0,0,0,84,1,0,0,0
44,324,0,1,2,0,0,1,6,0,28,0,0,0,7,5,0
108,26,0,0,26,0,0,0,14,0,8,0,1,0,2,8,11
31,10,0,0,60,0,0,0,1,0,2,0,0,0,0,12,1
