Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
20,162,174,51,74,19,0,15,41,0,46,19,57,27,16,51,12
96,11,64,30,30,11,0,2,42,0,55,69,13,5,37,14,6
102,57,0,38,1,8,0,0,1,0,4,2,2,0,0,0,2
28,26,35,1,0,5,0,0,1,0,0,0,1,0,0,0,0
12,21,0,0,7,0,0,0,7,0,54,0,3,1,0,11,29
1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,15,0,0,2,0,0,0,0,0,5,0,0,0,0,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,0,0,6,0,0,0,26,0,3,0,0,0,3,2,2
0,25,0,1,0,0,1,0,1,0,1,8,0,0,0,0,0
15,3,3,0,3,1,0,1,1,0,0,0,2,27,0,0,0
8,2,0,1,1,0,0,0,0,0,0,0,13,1,0,0,0
2,21,0,1,0,0,0,1,4,0,13,0,0,0,7,1,0
9,1,0,0,4,0,0,0,1,0,1,0,1,0,0,8,2
5,1,0,0,11,0,0,0,1,0,1,0,0,0,0,4,1
