Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
24,130,123,62,156,22,1,2,24,27,3,7,62,23,7,60,36
92,19,93,42,26,16,0,2,52,87,0,48,6,2,16,9,6
67,68,6,64,19,4,0,0,1,18,0,3,1,0,1,4,0
38,28,51,3,7,0,0,0,2,8,0,1,2,0,2,0,0
28,25,7,1,18,2,0,0,13,3,1,0,11,1,2,25,29
10,20,4,0,2,1,0,0,0,0,0,5,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0,0,1,0,0,0,2,0,0,2,0,0,1,1,4
0,76,8,8,0,0,0,0,1,5,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1,0,0,0,0,0,3,4,0,6,0,0,0,1,0
20,4,1,0,22,1,0,0,3,0,0,0,3,19,0,8,1
1,0,0,0,2,0,0,0,0,0,0,0,7,4,0,1,6
7,5,0,0,6,0,0,1,3,0,1,0,0,1,2,3,0
10,2,0,0,26,0,0,0,0,0,0,0,2,3,0,1,12
13,0,0,0,30,0,0,0,1,0,0,0,0,4,0,6,5
