Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
27,126,50,9,66,28,0,0,1,22,2,20,39,21,21,12,8
43,15,5,1,23,7,0,0,2,94,0,56,1,3,21,1,3
67,34,5,36,4,15,0,0,0,6,0,1,4,0,0,0,0
17,18,19,2,2,8,0,0,1,1,0,4,0,0,0,0,0
20,16,1,0,15,2,0,0,0,2,0,0,2,2,9,21,6
18,15,6,5,1,2,0,0,0,0,0,15,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,57,2,0,1,0,0,0,0,8,0,6,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0
19,3,0,0,25,13,0,0,0,2,0,0,3,23,0,2,1
7,0,0,0,3,1,0,0,0,0,0,0,8,2,0,0,0
2,9,0,0,9,0,0,0,0,1,0,0,0,0,1,1,0
2,5,0,0,15,0,0,0,0,0,0,0,0,0,2,1,3
2,4,0,0,7,1,0,0,0,0,0,1,0,0,0,2,0
