Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
29,1121,468,205,1004,22,1,2,48,36,3,18,418,54,23,100,52
1133,40,223,128,42,16,0,2,155,587,0,216,16,4,107,12,7
369,182,7,266,52,4,0,0,1,27,0,3,4,0,1,5,0
158,104,259,3,33,0,0,0,2,19,0,1,2,0,2,0,0
918,45,42,30,18,2,0,0,34,3,1,0,47,3,5,75,116
100,51,11,0,10,1,0,0,0,1,0,5,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,117,0,0,20,0,0,0,2,0,0,2,2,0,1,1,4
13,597,21,23,0,0,0,0,1,5,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,205,1,0,0,0,0,0,4,4,0,6,0,0,2,4,0
406,12,2,1,58,1,0,0,4,0,0,0,6,52,0,11,5
44,1,0,0,6,0,0,0,0,0,0,0,49,4,2,2,26
20,100,0,0,12,0,0,1,3,0,1,4,0,2,2,5,0
74,4,1,0,79,0,0,0,0,0,0,3,12,3,4,1,20
38,3,0,0,113,0,0,0,3,0,0,0,2,30,0,22,5
