Lorelai,Rory,Emily,Richard,Luke,Christopher,Jason,Max,Dean,Logan,Jess,Paris,Sookie,Jackson,Lane,Kirk,Taylor
39,129,167,66,160,0,66,0,10,0,15,20,79,18,12,65,38
84,15,49,31,37,2,9,1,33,0,13,74,4,2,31,8,9
80,51,5,49,1,0,40,0,0,0,0,2,10,0,0,0,0
24,30,61,2,0,1,37,0,0,0,0,3,0,0,0,0,0
19,11,0,0,11,0,4,0,7,0,18,0,1,0,2,43,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,22,42,6,0,7,0,0,0,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,0,0,3,0,0,0,4,0,2,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0
3,36,0,2,0,0,0,1,0,0,0,8,0,0,3,0,0
18,2,3,1,8,0,0,0,0,0,0,0,1,17,0,1,4
1,1,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0
3,13,0,0,9,0,0,0,2,0,0,3,0,0,6,7,1
9,1,0,0,20,0,0,0,0,0,0,0,0,1,3,7,12
12,2,0,0,6,0,0,0,0,0,0,0,0,1,0,10,5
